url,name,price_raw,alcohol_raw,volume_raw,vintage_raw,grape,country,image_url,price,vintage,alcohol,volume_ml
https://grandcru.vn/ly-ruou-vang-do/ly-riedel-superleggero-restaurant-burgundy-grand-cru/,Ly RIEDEL SUPERLEGGERO RESTAURANT BURGUNDY GRAND CRU,2.865.000 ₫,,1004ML,,"Barbaresco, Barolo, Beaujolais Cru, Blanc de Noirs, Blauburgunder, Burgundy (red), Chambolle Musigny, Echézeaux, Moulin à vent, Musigny, Nebbiolo, Nerello Mascalese, Nuits Saint Georges, Pinot Noir",ÁO,https://grandcru.vn/wp-content/uploads/2024/07/ly-riedel-superleggero-restaurant-burgundy-grand-cru.png,2865000.0,,,1004.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-trang-chateau-de-beaucastel-chateauneuf-du-pape-2023/,Rượu Vang Trắng Chateau de Beaucastel Chateauneuf-Du-Pape 2023,2022 4.356.000 ₫,14.0,750ML,,Unknown,PHÁP,https://grandcru.vn/wp-content/uploads/2024/06/chateau-de-beaucastel-chateauneuf-du-pape.png,4356000.0,2022.0,14.0,750.0
https://grandcru.vn/qua-tang/hop-qua-tang-tet-phat-tai-chateau-perthus-2021/,Hộp Quà Tặng Tết Phát Tài Château Perthus 2021,1.771.400 ₫,,,,Unknown,Unknown,https://grandcru.vn/wp-content/uploads/2025/09/hop-qua-tang-tet-phat-tai-chateau-perthus-2021.jpg,1771400.0,,,
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-domaine-maurice-gevrey-chambertin-2020/,Rượu vang đỏ Domaine Gavignet Gevrey-Chambertin 2020,2020 2.226.000 ₫,13.0,750ML,,PINOT NOIR,PHÁP,https://grandcru.vn/wp-content/uploads/2024/06/domaine-gavignet-gevrey-chambertin.jpg,2226000.0,2020.0,13.0,750.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-louis-latour-santenay-premier-cru-la-comme-2019/,Rượu vang đỏ Louis Latour Santenay Premier Cru La Comme 2019,2020 2.782.000 ₫,13.0,750ML,,PINOT NOIR,PHÁP,https://grandcru.vn/wp-content/uploads/2024/06/louis-latour-santenay-premier-cru-la-comme.png,2782000.0,2020.0,13.0,750.0
https://grandcru.vn/ruou-vang-argentina/ruou-vang-do-gran-enemigo-agrelo-single-vineyard-cabernet-franc-2019/,Rượu Vang Đỏ Gran Enemigo Agrelo Single Vineyard Cabernet Franc 2019,2019 3.190.000 ₫,,750ML,,CABERNET FRANC,ARGENTINA,https://grandcru.vn/wp-content/uploads/2023/11/ruou-vang-do-gran-enemigo-agrelo-single-vineyard-cabernet-franc.jpg,3190000.0,2019.0,,750.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-chateau-bouscaut-rouge-2019/,Rượu Vang Đỏ Château Bouscaut Rouge 2019,2.398.000 ₫,14.5,750ML,,C.SAUVIGNON,PHÁP,https://grandcru.vn/wp-content/uploads/2023/04/chateau-bouscaut-rouge-2019.jpg,2398000.0,,14.5,750.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-domaine-comte-georges-de-vogue-chambolle-musigny-2019/,Rượu Vang Đỏ Domaine Comte Georges de Vogue Chambolle-Musigny 2019,,13.0,750ML,,PINOT NOIR,PHÁP,https://grandcru.vn/wp-content/uploads/2023/04/domaine-comte-georges-de-vogue-chambolle-musigny.jpg,,,13.0,750.0
https://grandcru.vn/ruou-vang-y/ruou-vang-do-quintarelli-giuseppe-amarone-della-valpolicella-classico-riserva-2011/,Rượu Vang Đỏ Quintarelli Giuseppe Amarone della Valpolicella Classico Riserva 2011,1997 24.970.000 ₫,16.5,750ML,,CORVINA,Ý,https://grandcru.vn/wp-content/uploads/2023/04/quintarelli-giuseppe-amarone-della-valpolicella-classico-riserva.jpg,24970000.0,1997.0,16.5,750.0
https://grandcru.vn/ruou-vang-phap/ruou-vang-do-chateau-de-marsannay-savigny-les-beaune-cuvee-de-lingenieur-henri-darcy-2018/,"Rượu vang đỏ Château de Marsannay, Savigny-Lès-Beaune Cuvée De L’ingénieur Henri Darcy 2018",5.239.000 ₫,14.5,750ML,,PINOT NOIR,PHÁP,https://grandcru.vn/wp-content/uploads/2024/06/chteau-de-marsannay-savigny-ls-beaune-cuve-de-lingnieur-henri-darcy.png,5239000.0,,14.5,750.0
